 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.000000000     0.000000000
     2     1.939120487    -1.094459365      0.000000000     0.000000000
     3    -0.000000000    -1.713359515      0.000000000     0.000000000
     4    -1.939120487    -1.094459365      0.000000000     0.000000000
     5     0.000000000     0.000000001      0.000000000     0.000000000
     6     0.055189532    -0.045221362      0.000000000     0.000000000
     7     1.931396144    -1.094192632      0.000000000     0.000000000
     8    -0.000000000    -1.667788586      0.000000000     0.000000000
     9    -1.931396144    -1.094192632      0.000000000     0.000000000
    10    -0.055189532    -0.045221362      0.000000000     0.000000000
    11     0.109955815    -0.087869728      0.000000000     0.000000000
    12     1.923598506    -1.093398083      0.000000000     0.000000000
    13    -0.000000000    -1.624086993      0.000000000     0.000000000
    14    -1.923598506    -1.093398083      0.000000000     0.000000000
    15    -0.109955815    -0.087869728      0.000000000     0.000000000
    16     0.164291304    -0.128033719      0.000000000     0.000000000
    17     1.915753931    -1.092086752      0.000000000     0.000000000
    18    -0.000000000    -1.582157709      0.000000000     0.000000000
    19    -1.915753931    -1.092086752      0.000000000     0.000000000
    20    -0.164291304    -0.128033719      0.000000000     0.000000000
    21     0.218189434    -0.165799053      0.000000000     0.000000000
    22     1.907887156    -1.090269172      0.000000000     0.000000000
    23    -0.000000000    -1.541907844      0.000000000     0.000000000
    24    -1.907887156    -1.090269172      0.000000000     0.000000000
    25    -0.218189434    -0.165799052      0.000000000     0.000000000
    26     0.271644561    -0.201248618      0.000000000     0.000000000
    27     1.900021372    -1.087955404      0.000000000     0.000000000
    28    -0.000000000    -1.503248472      0.000000000     0.000000000
    29    -1.900021372    -1.087955403      0.000000000     0.000000000
    30    -0.271644561    -0.201248618      0.000000000     0.000000000
    31     0.324651912    -0.234462548      0.000000000     0.000000000
    32     1.892178300    -1.085155070      0.000000000     0.000000000
    33    -0.000000000    -1.466094465      0.000000000     0.000000000
    34    -1.892178300    -1.085155070      0.000000000     0.000000000
    35    -0.324651912    -0.234462548      0.000000000     0.000000000
    36     0.377207528    -0.265518294      0.000000000     0.000000000
    37     1.884378259    -1.081877386      0.000000000     0.000000000
    38    -0.000000000    -1.430364337      0.000000000     0.000000000
    39    -1.884378259    -1.081877386      0.000000000     0.000000000
    40    -0.377207528    -0.265518293      0.000000000     0.000000000
    41     0.429308217    -0.294490694      0.000000000     0.000000000
    42     1.876640230    -1.078131184      0.000000000     0.000000000
    43    -0.000000000    -1.395980088      0.000000000     0.000000000
    44    -1.876640231    -1.078131184      0.000000000     0.000000000
    45    -0.429308217    -0.294490694      0.000000000     0.000000000
    46     0.480951508    -0.321452053      0.000000000     0.000000000
    47     1.868981926    -1.073924940      0.000000000     0.000000000
    48    -0.000000000    -1.362867063      0.000000000     0.000000000
    49    -1.868981926    -1.073924939      0.000000000     0.000000000
    50    -0.480951508    -0.321452052      0.000000000     0.000000000
    51     0.532135606    -0.346472205      0.000000000     0.000000000
    52     1.861419847    -1.069266792      0.000000000     0.000000000
    53    -0.000000000    -1.330953813      0.000000000     0.000000000
    54    -1.861419847    -1.069266792      0.000000000     0.000000000
    55    -0.532135606    -0.346472205      0.000000000     0.000000000
    56     0.582859349    -0.369618591      0.000000000     0.000000000
    57     1.853969342    -1.064164566      0.000000000     0.000000000
    58    -0.000000000    -1.300171960      0.000000000     0.000000000
    59    -1.853969342    -1.064164566      0.000000000     0.000000000
    60    -0.582859349    -0.369618590      0.000000000     0.000000000
    61     0.633122167    -0.390956321      0.000000000     0.000000000
    62     1.846644665    -1.058625792      0.000000000     0.000000000
    63    -0.000000000    -1.270456073      0.000000000     0.000000000
    64    -1.846644666    -1.058625792      0.000000000     0.000000000
    65    -0.633122167    -0.390956320      0.000000000     0.000000000
    66     0.682924048    -0.410548248      0.000000000     0.000000000
    67     1.839459030    -1.052657721      0.000000000     0.000000000
    68    -0.000000000    -1.241743548      0.000000000     0.000000000
    69    -1.839459030    -1.052657721      0.000000000     0.000000000
    70    -0.682924048    -0.410548247      0.000000000     0.000000000
    71     0.732265496    -0.428455032      0.000000000     0.000000000
    72     1.832424658    -1.046267343      0.000000000     0.000000000
    73    -0.000000000    -1.213974487      0.000000000     0.000000000
    74    -1.832424659    -1.046267343      0.000000000     0.000000000
    75    -0.732265496    -0.428455032      0.000000000     0.000000000
    76     0.781147501    -0.444735208      0.000000000     0.000000000
    77     1.825552832    -1.039461399      0.000000000     0.000000000
    78    -0.000000000    -1.187091593      0.000000000     0.000000000
    79    -1.825552833    -1.039461398      0.000000000     0.000000000
    80    -0.781147501    -0.444735207      0.000000000     0.000000000
    81     0.829571506    -0.459445245      0.000000000     0.000000000
    82     1.818853941    -1.032246396      0.000000000     0.000000000
    83    -0.000000000    -1.161040057      0.000000000     0.000000000
    84    -1.818853941    -1.032246396      0.000000000     0.000000000
    85    -0.829571506    -0.459445245      0.000000000     0.000000000
    86     0.877539372    -0.472639616      0.000000000     0.000000000
    87     1.812337524    -1.024628620      0.000000000     0.000000000
    88    -0.000000000    -1.135767463      0.000000000     0.000000000
    89    -1.812337525    -1.024628620      0.000000000     0.000000000
    90    -0.877539372    -0.472639616      0.000000000     0.000000000
    91     0.925053353    -0.484370857      0.000000000     0.000000000
    92     1.806012319    -1.016614148      0.000000000     0.000000000
    93    -0.000000000    -1.111223683      0.000000000     0.000000000
    94    -1.806012319    -1.016614148      0.000000000     0.000000000
    95    -0.925053353    -0.484370856      0.000000000     0.000000000
    96     0.972116068    -0.494689624      0.000000000     0.000000000
    97     1.799886298    -1.008208855      0.000000000     0.000000000
    98    -0.000000000    -1.087360791      0.000000000     0.000000000
    99    -1.799886298    -1.008208855      0.000000000     0.000000000
   100    -0.972116068    -0.494689624      0.000000000     0.000000000
   101     1.018730471    -0.503644758      0.000000000     0.000000000
   102     1.793966708    -0.999418429      0.000000000     0.000000000
   103    -0.000000000    -1.064132965      0.000000000     0.000000000
   104    -1.793966709    -0.999418429      0.000000000     0.000000000
   105    -1.018730471    -0.503644757      0.000000000     0.000000000
   106     1.064899827    -0.511283338      0.000000000     0.000000000
   107     1.788260115    -0.990248374      0.000000000     0.000000000
   108    -0.000000000    -1.041496409      0.000000000     0.000000000
   109    -1.788260115    -0.990248374      0.000000000     0.000000000
   110    -1.064899827    -0.511283338      0.000000000     0.000000000
   111     1.110627691    -0.517650741      0.000000000     0.000000000
   112     1.782772430    -0.980704026      0.000000000     0.000000000
   113    -0.000000000    -1.019409262      0.000000000     0.000000000
   114    -1.782772430    -0.980704026      0.000000000     0.000000000
   115    -1.110627691    -0.517650741      0.000000000     0.000000000
   116     1.155917883    -0.522790692      0.000000000     0.000000000
   117     1.777508951    -0.970790553      0.000000000     0.000000000
   118    -0.000000000    -0.997831527      0.000000000     0.000000000
   119    -1.777508952    -0.970790553      0.000000000     0.000000000
   120    -1.155917883    -0.522790692      0.000000000     0.000000000
   121     1.200774466    -0.526745323      0.000000000     0.000000000
   122     1.772474397    -0.960512968      0.000000000     0.000000000
   123    -0.000000000    -0.976724988      0.000000000     0.000000000
   124    -1.772474397    -0.960512968      0.000000000     0.000000000
   125    -1.200774466    -0.526745323      0.000000000     0.000000000
   126     1.245201728    -0.529555222      0.000000000     0.000000000
   127     1.767672933    -0.949876133      0.000000000     0.000000000
   128    -0.000000000    -0.956053141      0.000000000     0.000000000
   129    -1.767672933    -0.949876133      0.000000000     0.000000000
   130    -1.245201728    -0.529555221      0.000000000     0.000000000
   131     1.289204160    -0.531259481      0.000000000     0.000000000
   132     1.763108205    -0.938884766      0.000000000     0.000000000
   133    -0.000000000    -0.935781123      0.000000000     0.000000000
   134    -1.763108205    -0.938884765      0.000000000     0.000000000
   135    -1.289204161    -0.531259481      0.000000000     0.000000000
   136     1.332786441    -0.531895753      0.000000000     0.000000000
   137     1.758783370    -0.927543445      0.000000000     0.000000000
   138    -0.000000000    -0.915875643      0.000000000     0.000000000
   139    -1.758783370    -0.927543445      0.000000000     0.000000000
   140    -1.332786441    -0.531895753      0.000000000     0.000000000
   141     1.375953417    -0.531500292      0.000000000     0.000000000
   142     1.754701119    -0.915856618      0.000000000     0.000000000
   143    -0.000000000    -0.896304920      0.000000000     0.000000000
   144    -1.754701119    -0.915856618      0.000000000     0.000000000
   145    -1.375953417    -0.531500291      0.000000000     0.000000000
   146     1.418710087    -0.530108004      0.000000000     0.000000000
   147     1.750863707    -0.903828604      0.000000000     0.000000000
   148    -0.000000000    -0.877038621      0.000000000     0.000000000
   149    -1.750863708    -0.903828603      0.000000000     0.000000000
   150    -1.418710087    -0.530108003      0.000000000     0.000000000
   151     1.461061590    -0.527752492      0.000000000     0.000000000
   152     1.747272979    -0.891463598      0.000000000     0.000000000
   153    -0.000000000    -0.858047798      0.000000000     0.000000000
   154    -1.747272980    -0.891463598      0.000000000     0.000000000
   155    -1.461061590    -0.527752491      0.000000000     0.000000000
   156     1.503013184    -0.524466098      0.000000000     0.000000000
