Name, bandwidth, neqn, time, cost
mesh_2000,   8, 8004,.3906E-02,         384192
mesh_1000,  10, 6006,.3906E-02,         420420
mesh_500,  14, 5010,.7812E-02,         631260
mesh_250,  22, 4518,.1172E-01,        1292148
mesh_125,  38, 4284,.3125E-01,        3418632
mesh_16, 256, 4284,.1082E+01,      142571520
mesh_8, 506, 4518,.4539E+01,      582957540
mesh_4,1006, 5010,.1707E+02,0.255E+10
mesh_2,2006, 6006,.6613E+02,0.121E+11
mesh_1,4006, 8004,.2787E+03,0.643E+11
