 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.000000000     0.000000000
     2     3.866462640    -1.123229449      0.000000000     0.000000000
     3     3.949892998    -2.064021561      0.000000000     0.000000000
     4     3.676838112    -2.559849750      0.000000000     0.000000000
     5     3.128615854    -2.918515308      0.000000000     0.000000000
     6     2.442580123    -3.169207995      0.000000000     0.000000000
     7     1.669703150    -3.338109069      0.000000000     0.000000000
     8     0.846624413    -3.436030020      0.000000000     0.000000000
     9     0.000000000    -3.468157333      0.000000000     0.000000000
    10    -0.846624413    -3.436030020      0.000000000     0.000000000
    11    -1.669703150    -3.338109069      0.000000000     0.000000000
    12    -2.442580123    -3.169207995      0.000000000     0.000000000
    13    -3.128615854    -2.918515308      0.000000000     0.000000000
    14    -3.676838112    -2.559849750      0.000000000     0.000000000
    15    -3.949892998    -2.064021561      0.000000000     0.000000000
    16    -3.866462640    -1.123229449      0.000000000     0.000000000
    17     0.000000000    -0.000000000      0.000000000     0.000000000
    18     0.823676780    -0.941157797      0.000000000     0.000000000
    19     3.755984957    -1.551468392      0.000000000     0.000000000
    20     4.029749159    -2.009761327      0.000000000     0.000000000
    21     3.698435531    -2.464507763      0.000000000     0.000000000
    22     3.151643079    -2.763420851      0.000000000     0.000000000
    23     2.457210766    -2.986654867      0.000000000     0.000000000
    24     1.679394358    -3.137622436      0.000000000     0.000000000
    25     0.851312199    -3.226038889      0.000000000     0.000000000
    26     0.000000000    -3.255115533      0.000000000     0.000000000
    27    -0.851312199    -3.226038889      0.000000000     0.000000000
    28    -1.679394358    -3.137622436      0.000000000     0.000000000
    29    -2.457210766    -2.986654867      0.000000000     0.000000000
    30    -3.151643079    -2.763420851      0.000000000     0.000000000
    31    -3.698435531    -2.464507763      0.000000000     0.000000000
    32    -4.029749159    -2.009761327      0.000000000     0.000000000
    33    -3.755984957    -1.551468392      0.000000000     0.000000000
    34    -0.823676780    -0.941157797      0.000000000     0.000000000
    35     1.528187049    -1.469043829      0.000000000     0.000000000
    36     3.687451870    -1.855048792      0.000000000     0.000000000
    37     4.060432401    -2.041758208      0.000000000     0.000000000
    38     3.724692524    -2.370046888      0.000000000     0.000000000
    39     3.168488029    -2.624393886      0.000000000     0.000000000
    40     2.470538911    -2.813818464      0.000000000     0.000000000
    41     1.687779907    -2.946689108      0.000000000     0.000000000
    42     0.855509427    -3.024892195      0.000000000     0.000000000
    43     0.000000000    -3.050806333      0.000000000     0.000000000
    44    -0.855509427    -3.024892195      0.000000000     0.000000000
    45    -1.687779907    -2.946689108      0.000000000     0.000000000
    46    -2.470538911    -2.813818464      0.000000000     0.000000000
    47    -3.168488029    -2.624393886      0.000000000     0.000000000
    48    -3.724692524    -2.370046888      0.000000000     0.000000000
    49    -4.060432401    -2.041758208      0.000000000     0.000000000
    50    -3.687451870    -1.855048792      0.000000000     0.000000000
    51    -1.528187049    -1.469043829      0.000000000     0.000000000
    52     2.126311557    -1.759770884      0.000000000     0.000000000
    53     3.669391538    -2.043263013      0.000000000     0.000000000
    54     4.062291221    -2.088893422      0.000000000     0.000000000
    55     3.744820097    -2.290625430      0.000000000     0.000000000
    56     3.182245900    -2.493107667      0.000000000     0.000000000
    57     2.481379147    -2.650395217      0.000000000     0.000000000
    58     1.695020783    -2.763790287      0.000000000     0.000000000
    59     0.859107417    -2.831693550      0.000000000     0.000000000
    60     0.000000000    -2.854285543      0.000000000     0.000000000
    61    -0.859107417    -2.831693550      0.000000000     0.000000000
    62    -1.695020783    -2.763790287      0.000000000     0.000000000
    63    -2.481379147    -2.650395217      0.000000000     0.000000000
    64    -3.182245900    -2.493107667      0.000000000     0.000000000
    65    -3.744820097    -2.290625430      0.000000000     0.000000000
    66    -4.062291221    -2.088893422      0.000000000     0.000000000
    67    -3.669391538    -2.043263013      0.000000000     0.000000000
    68    -2.126311557    -1.759770884      0.000000000     0.000000000
    69     2.634496912    -1.904783277      0.000000000     0.000000000
    70     3.695053310    -2.139146454      0.000000000     0.000000000
    71     4.052467824    -2.119469143      0.000000000     0.000000000
    72     3.756205840    -2.220749052      0.000000000     0.000000000
    73     3.192927502    -2.367987205      0.000000000     0.000000000
    74     2.489861073    -2.494042683      0.000000000     0.000000000
    75     1.700978264    -2.587916426      0.000000000     0.000000000
    76     0.862116524    -2.645382688      0.000000000     0.000000000
    77     0.000000000    -2.664656052      0.000000000     0.000000000
    78    -0.862116524    -2.645382688      0.000000000     0.000000000
    79    -1.700978264    -2.587916426      0.000000000     0.000000000
    80    -2.489861072    -2.494042683      0.000000000     0.000000000
    81    -3.192927502    -2.367987205      0.000000000     0.000000000
    82    -3.756205840    -2.220749052      0.000000000     0.000000000
    83    -4.052467824    -2.119469143      0.000000000     0.000000000
    84    -3.695053310    -2.139146454      0.000000000     0.000000000
    85    -2.634496912    -1.904783277      0.000000000     0.000000000
    86     3.068791298    -1.955478745      0.000000000     0.000000000
    87     3.754122260    -2.164611255      0.000000000     0.000000000
    88     4.042236024    -2.121629335      0.000000000     0.000000000
    89     3.760271634    -2.151990128      0.000000000     0.000000000
    90     3.200258102    -2.247246179      0.000000000     0.000000000
    91     2.496214412    -2.342873848      0.000000000     0.000000000
    92     1.705639870    -2.417845909      0.000000000     0.000000000
    93     0.864542440    -2.464971833      0.000000000     0.000000000
    94     0.000000000    -2.480969132      0.000000000     0.000000000
    95    -0.864542440    -2.464971833      0.000000000     0.000000000
    96    -1.705639870    -2.417845909      0.000000000     0.000000000
    97    -2.496214412    -2.342873848      0.000000000     0.000000000
    98    -3.200258102    -2.247246179      0.000000000     0.000000000
    99    -3.760271634    -2.151990128      0.000000000     0.000000000
   100    -4.042236024    -2.121629335      0.000000000     0.000000000
   101    -3.754122260    -2.164611255      0.000000000     0.000000000
   102    -3.068791298    -1.955478745      0.000000000     0.000000000
   103     3.443229061    -1.942528738      0.000000000     0.000000000
   104     3.836905583    -2.137192992      0.000000000     0.000000000
   105     4.037968366    -2.093006644      0.000000000     0.000000000
   106     3.759836125    -2.077687383      0.000000000     0.000000000
   107     3.204437174    -2.128430694      0.000000000     0.000000000
   108     2.500645820    -2.195314593      0.000000000     0.000000000
   109     1.709093441    -2.252334372      0.000000000     0.000000000
   110     0.866406087    -2.289478530      0.000000000     0.000000000
   111     0.000000000    -2.302288483      0.000000000     0.000000000
   112    -0.866406087    -2.289478530      0.000000000     0.000000000
   113    -1.709093441    -2.252334372      0.000000000     0.000000000
   114    -2.500645820    -2.195314593      0.000000000     0.000000000
   115    -3.204437174    -2.128430694      0.000000000     0.000000000
   116    -3.759836125    -2.077687383      0.000000000     0.000000000
   117    -4.037968366    -2.093006644      0.000000000     0.000000000
   118    -3.836905583    -2.137192992      0.000000000     0.000000000
   119    -3.443229061    -1.942528738      0.000000000     0.000000000
   120     3.769440394    -1.885085581      0.000000000     0.000000000
   121     3.935551896    -2.070106873      0.000000000     0.000000000
   122     4.042667450    -2.035432692      0.000000000     0.000000000
   123     3.757775569    -1.993666183      0.000000000     0.000000000
   124     3.206133840    -2.008999980      0.000000000     0.000000000
   125     2.503407270    -2.049898757      0.000000000     0.000000000
   126     1.711479366    -2.090205189      0.000000000     0.000000000
   127     0.867753734    -2.117929486      0.000000000     0.000000000
   128     0.000000000    -2.127700356      0.000000000     0.000000000
   129    -0.867753734    -2.117929486      0.000000000     0.000000000
   130    -1.711479366    -2.090205189      0.000000000     0.000000000
   131    -2.503407270    -2.049898757      0.000000000     0.000000000
   132    -3.206133840    -2.008999980      0.000000000     0.000000000
   133    -3.757775568    -1.993666183      0.000000000     0.000000000
   134    -4.042667450    -2.035432692      0.000000000     0.000000000
   135    -3.935551896    -2.070106873      0.000000000     0.000000000
   136    -3.769440394    -1.885085581      0.000000000     0.000000000
   137     4.056795803    -1.795543792      0.000000000     0.000000000
   138     4.044144716    -1.973079908      0.000000000     0.000000000
   139     4.057246714    -1.952311750      0.000000000     0.000000000
   140     3.756470112    -1.897806206      0.000000000     0.000000000
   141     3.206282422    -1.886763722      0.000000000     0.000000000
   142     2.504836060    -1.905236052      0.000000000     0.000000000
   143     1.712971343    -1.930363186      0.000000000     0.000000000
   144     0.868653987    -1.949382514      0.000000000     0.000000000
   145     0.000000000    -1.956317323      0.000000000     0.000000000
   146    -0.868653987    -1.949382514      0.000000000     0.000000000
   147    -1.712971343    -1.930363186      0.000000000     0.000000000
   148    -2.504836060    -1.905236052      0.000000000     0.000000000
   149    -3.206282422    -1.886763722      0.000000000     0.000000000
   150    -3.756470112    -1.897806206      0.000000000     0.000000000
   151    -4.057246714    -1.952311750      0.000000000     0.000000000
   152    -4.044144716    -1.973079908      0.000000000     0.000000000
   153    -4.056795803    -1.795543792      0.000000000     0.000000000
   154     4.312738876    -1.682166384      0.000000000     0.000000000
   155     4.158419768    -1.853213263      0.000000000     0.000000000
   156     4.081433455    -1.847367365      0.000000000     0.000000000
   157     3.757658595    -1.789413382      0.000000000     0.000000000
   158     3.205885166    -1.760059190      0.000000000     0.000000000
   159     2.505347146    -1.760057052      0.000000000     0.000000000
